Function,MVO,Sequential,Parallel,Winner
F01,5.93E+03,8.96E+02,8.11E+03,Sequential
F02,2.00E+02,2.08E+02,2.00E+02,Parallel
F03,3.00E+02,3.00E+02,3.00E+02,Parallel
F04,4.90E+02,4.87E+02,4.86E+02,Parallel
F05,5.82E+02,5.79E+02,6.02E+02,Sequential
F06,6.02E+02,6.08E+02,6.03E+02,MVO
F07,7.96E+02,8.76E+02,8.05E+02,MVO
F08,9.08E+02,8.65E+02,8.73E+02,Sequential
F09,9.18E+02,9.07E+02,9.17E+02,Sequential
F10,3.64E+03,4.29E+03,3.75E+03,MVO
F11,1.15E+03,1.26E+03,1.17E+03,MVO
F12,9.15E+06,3.34E+05,1.55E+07,Sequential
F13,6.55E+04,1.20E+04,2.00E+05,Sequential
F14,4.68E+03,7.73E+03,2.24E+03,Parallel
F15,9.55E+03,3.17E+03,4.55E+04,Sequential
F16,2.04E+03,2.24E+03,1.97E+03,Parallel
F17,1.90E+03,2.01E+03,1.97E+03,MVO
F18,1.45E+05,7.25E+04,8.39E+04,Sequential
F19,1.23E+04,5.10E+03,5.85E+06,Sequential
F20,2.44E+03,2.32E+03,2.40E+03,Sequential
F21,2.37E+03,2.38E+03,2.39E+03,MVO
F22,5.24E+03,4.48E+03,5.48E+03,Sequential
F23,2.75E+03,2.72E+03,2.75E+03,Sequential
F24,2.91E+03,2.90E+03,2.88E+03,Parallel
F25,2.89E+03,2.89E+03,2.89E+03,Sequential
F26,4.95E+03,4.60E+03,4.12E+03,Parallel
F27,3.25E+03,3.21E+03,3.22E+03,Sequential
F28,3.20E+03,3.10E+03,3.21E+03,Sequential
F29,3.46E+03,3.59E+03,3.56E+03,MVO
F30,1.71E+06,8.26E+03,1.11E+07,Sequential